id,name,twolettercode,threelettercode,designator,alliance,aviation,sea,land,rail,validfrom,validto
235,Air Specialties Corporation,,AMR,,,t,f,f,f,2020-06-02 00:00:00+00,
236,Air Srpska,RB,SBK,,,t,f,f,f,2020-06-02 00:00:00+00,
237,Air Tanzania,TC,ATC,,,t,f,f,f,2020-06-02 00:00:00+00,
238,Air Taxi,,HAT,,,t,f,f,f,2020-06-02 00:00:00+00,
239,Air Transat,TS,TSC,,,t,f,f,f,2020-06-02 00:00:00+00,
240,Air VIA,VL,VIM,,,t,f,f,f,2020-06-02 00:00:00+00,
241,Air Wales,6G,AWW,,,t,f,f,f,2020-06-02 00:00:00+00,
242,Air X Charter,,AXY,,,t,f,f,f,2020-06-02 00:00:00+00,
243,AirAsia X,D7,XAX,,,t,f,f,f,2020-06-02 00:00:00+00,
244,AirBridge Cargo,RU,ABW,,,t,f,f,f,2020-06-02 00:00:00+00,
245,Airlinair,A5,RLA,,,t,f,f,f,2020-06-02 00:00:00+00,
246,Al Masria Universal Airlines,UJ,LMU,,,t,f,f,f,2020-06-02 00:00:00+00,
247,AlbaStar,AP,LAV,,,t,f,f,f,2020-06-02 00:00:00+00,
248,Albawings,2B,AWT,,,t,f,f,f,2020-06-02 00:00:00+00,
249,Albion Aviation,,ALD,,,t,f,f,f,2020-06-02 00:00:00+00,
250,Allegro,LL,GRO,,,t,f,f,f,2020-06-02 00:00:00+00,
251,Allied Air,,AJK,,,t,f,f,f,2020-06-02 00:00:00+00,
252,AMC Airlines,,AMV,,,t,f,f,f,2020-06-02 00:00:00+00,
253,America West Airlines,HP,AWE,,,t,f,f,f,2020-06-02 00:00:00+00,
254,American Falcon,WK,AFB,,,t,f,f,f,2020-06-02 00:00:00+00,
255,Andes Lneas Areas,OY,ANS,,,t,f,f,f,2020-06-02 00:00:00+00,
256,Antillana De Navegacin Area,,SUN,,,t,f,f,f,2020-06-02 00:00:00+00,
257,Antinea Airlines,HO,DJA,,,t,f,f,f,2020-06-02 00:00:00+00,
258,Arctic Circle Air Service,5F,CIR,,,t,f,f,f,2020-06-02 00:00:00+00,
259,Arkia Israel Airlines,IZ,AIZ,,,t,f,f,f,2020-06-02 00:00:00+00,
260,Arrow Aviation,,HEZ,,,t,f,f,f,2020-06-02 00:00:00+00,
261,Aruba Airlines,AG,ARU,,,t,f,f,f,2020-06-02 00:00:00+00,
262,Asia Overnight Express,OE,AOT,,,t,f,f,f,2020-06-02 00:00:00+00,
263,ASL Airlines Ireland,,ABR,,,t,f,f,f,2020-06-02 00:00:00+00,
264,ASL Airlines Switzerland,,FAT,,,t,f,f,f,2020-06-02 00:00:00+00,
265,Astra Airlines,A2,AZI,,,t,f,f,f,2020-06-02 00:00:00+00,
266,Astraeus,5W,AEU,,,t,f,f,f,2020-06-02 00:00:00+00,
267,Astral Aviation,8V,ACP,,,t,f,f,f,2020-06-02 00:00:00+00,
268,Atlant-Soyuz Airlines,3G,AYZ,,,t,f,f,f,2020-06-02 00:00:00+00,
269,Atlas Air,5Y,GTI,,,t,f,f,f,2020-06-02 00:00:00+00,
270,Atlasjet,KK,KKK,,,t,f,f,f,2020-06-02 00:00:00+00,
